"names","x"
"loan_amnt",0.521140150946957
"funded_amnt",0.521140150946957
"funded_amnt_inv",0.521147413622989
"int_rate",0.658148292334006
"installment",0.507186537203987
"grade",0.65382982556767
"annual_inc",0.576780409395235
"dti",0.568269628414813
"inq_last_6mths",0.55148720761634
"mths_since_last_delinq",0.510867892310034
"open_acc",0.507948233439143
"revol_bal",0.536733234605871
"revol_util",0.531484443541588
"total_acc",0.518490732788782
"total_pymnt",0.755793775508425
"total_pymnt_inv",0.755798682642366
"total_rec_prncp",0.828559596529591
"total_rec_int",0.541562594008437
"recoveries",0.878491113529198
"collection_recovery_fee",0.859920203119333
"last_pymnt_amnt",0.768416343894505
"tot_cur_bal",0.561194990608859
"open_acc_6m",0.503949799817838
"total_rev_hi_lim",0.565574295065955
"acc_open_past_24mths",0.58258969492196
"avg_cur_bal",0.569155349234162
"bc_open_to_buy",0.573858462716184
"bc_util",0.543196935498219
"mo_sin_old_il_acct",0.524700765483866
"mo_sin_old_rev_tl_op",0.551115488433895
"mo_sin_rcnt_rev_tl_op",0.553833453750378
"mo_sin_rcnt_tl",0.559670397859641
"mort_acc",0.558319585974878
"mths_since_recent_bc",0.553266464377811
"mths_since_recent_inq",0.558501969469204
"num_bc_tl",0.515262549651127
"num_il_tl",0.509902094810632
"num_op_rev_tl",0.517655560805286
"num_rev_accts",0.50783329315108
"num_sats",0.507744873882472
"num_tl_120dpd_2m",0.50000264288541
"pct_tl_nvr_dlq",0.51239793304184
"tot_hi_cred_lim",0.573551234649667
"total_bal_ex_mort",0.516919212205587
"total_bc_limit",0.573007895777927
"total_il_high_credit_limit",0.51163145185934
"annRet",0.965918399419457
"totAnnInc",0.576803014437571
"e_emp_length",0.534499790708466
"e_grade",0.65382982556767
"e_home_ownership",0.542130482012529
"actualTerm",0.663933190280114
"actualReturn",0.985948677327777
