"grade","intRate","totRet"
"A",7.17384761820436,7.18385381557577
"B",10.7535591470788,8.84066305446945
"C",13.8477646838056,8.48461854561023
"D",17.1905763227407,8.67125518063075
"E",19.9276557697681,7.6933968108804
"F",23.9804378531073,9.10850123042911
"G",26.425625,3.72212874607629
