"sub_grade","intRate","totRet"
"A1",5.68006889242183,6.4957363311753
"A2",6.41549402506558,6.98737580653181
"A3",7.09410685375067,7.33429202694521
"A4",7.4758505254963,7.1094357684783
"A5",8.2417877351277,7.65730653767529
"B1",8.87000963391137,8.39578775397273
"B2",9.95938226744186,8.83880227109302
"B3",10.8459307660225,8.76633329494826
"B4",11.7314571307898,9.37719407702466
"B5",12.2273781331693,8.7648764433899
"C1",12.8615308945589,8.72721102827984
"C2",13.308202077748,8.73792880719648
"C3",13.9752827763496,8.46126144128866
"C4",14.568033068499,8.21830660308392
"C5",15.2213618485742,8.06115619877762
"D1",16.0989096045198,8.39816671890227
"D2",16.9564112615823,8.59039435355814
"D3",17.4453088880032,9.1321144505472
"D4",18.0745251118846,8.0578591971718
"D5",18.4842593730793,9.45236891744706
"E1",18.9729874776386,7.82040819621216
"E2",19.5788533057851,8.06206944063984
"E3",20.1433179723502,7.55057207716323
"E4",20.9933905579399,8.22018782575371
"E5",21.9700265957447,5.96100440213271
"F1",23.1247619047619,14.3898714235069
"F2",23.7426241134752,8.75572165328083
"F3",24.3853374233129,10.6232193730677
"F4",24.9529896907216,-1.48889395436647
"F5",25.5954545454545,0.015499546744891
"G1",26.12,-2.20400698862703
"G2",26.3938095238095,6.87104355339466
"G3",26.7336842105263,14.4216186079414
"G4",26.99,-0.602052707767195
"G5",26.7925,-12.2994720749494
